,ind1,ind2,combined
217,RETAIL,"TEXTILES, APPAREL AND LUXURY GOODS","RETAIL|TEXTILES, APPAREL AND LUXURY GOODS"
218,ENVIRONMENTAL SERVICES,FOOD AND STAPLES RETAILING,ENVIRONMENTAL SERVICES|FOOD AND STAPLES RETAILING
219,SEMICONDUCTORS,"ELECTRONIC EQUIPMENT, INSTRUMENTS AND COMPONENTS","SEMICONDUCTORS|ELECTRONIC EQUIPMENT, INSTRUMENTS AND COMPONENTS"
220,HOSPITALITY,INTERNET SOFTWARE AND SERVICES,HOSPITALITY|INTERNET SOFTWARE AND SERVICES
221,COMPUTER SOFTWARE,COMMUNICATIONS EQUIPMENT,COMPUTER SOFTWARE|COMMUNICATIONS EQUIPMENT
222,EDUCATION MANAGEMENT,MEDIA,EDUCATION MANAGEMENT|MEDIA
223,HIGHER EDUCATION,INTERNET SOFTWARE AND SERVICES,HIGHER EDUCATION|INTERNET SOFTWARE AND SERVICES
224,HOSPITAL AND HEALTH CARE,HEALTH CARE PROVIDERS AND SERVICES,HOSPITAL AND HEALTH CARE|HEALTH CARE PROVIDERS AND SERVICES
225,EDUCATION MANAGEMENT,INTERNET SOFTWARE AND SERVICES,EDUCATION MANAGEMENT|INTERNET SOFTWARE AND SERVICES
226,HIGHER EDUCATION,DIVERSIFIED CONSUMER SERVICES,HIGHER EDUCATION|DIVERSIFIED CONSUMER SERVICES
227,HIGHER EDUCATION,EDUCATION SERVICES,HIGHER EDUCATION|EDUCATION SERVICES
228,FUND-RAISING,HEALTH CARE PROVIDERS AND SERVICES,FUND-RAISING|HEALTH CARE PROVIDERS AND SERVICES
229,PRIMARY/SECONDARY EDUCATION,EDUCATION SERVICES,PRIMARY/SECONDARY EDUCATION|EDUCATION SERVICES
230,FOOD AND BEVERAGES,EDUCATION SERVICES,FOOD AND BEVERAGES|EDUCATION SERVICES
231,LAW PRACTICE,SPECIALIZED CONSUMER SERVICES,LAW PRACTICE|SPECIALIZED CONSUMER SERVICES
232,BANKING,DIVERSIFIED FINANCIAL SERVICES,BANKING|DIVERSIFIED FINANCIAL SERVICES
233,INSURANCE,INSURANCE,INSURANCE|INSURANCE
234,PRINTING,COMMERCIAL SERVICES AND SUPPLIES,PRINTING|COMMERCIAL SERVICES AND SUPPLIES
235,FINANCIAL SERVICES,DIVERSIFIED CONSUMER SERVICES,FINANCIAL SERVICES|DIVERSIFIED CONSUMER SERVICES
236,LOGISTICS AND SUPPLY CHAIN,AIR FREIGHT AND LOGISTICS,LOGISTICS AND SUPPLY CHAIN|AIR FREIGHT AND LOGISTICS
237,CIVIL ENGINEERING,CONSTRUCTION AND ENGINEERING,CIVIL ENGINEERING|CONSTRUCTION AND ENGINEERING
238,INSURANCE,INSURANCE,INSURANCE|INSURANCE
239,RETAIL,"TEXTILES, APPAREL AND LUXURY GOODS","RETAIL|TEXTILES, APPAREL AND LUXURY GOODS"
240,RESEARCH,HEALTH CARE PROVIDERS AND SERVICES,RESEARCH|HEALTH CARE PROVIDERS AND SERVICES
241,COMPUTER SOFTWARE,CONSTRUCTION AND ENGINEERING,COMPUTER SOFTWARE|CONSTRUCTION AND ENGINEERING
242,INFORMATION TECHNOLOGY AND SERVICES,AIR FREIGHT AND LOGISTICS,INFORMATION TECHNOLOGY AND SERVICES|AIR FREIGHT AND LOGISTICS
243,LOGISTICS AND SUPPLY CHAIN,AIR FREIGHT AND LOGISTICS,LOGISTICS AND SUPPLY CHAIN|AIR FREIGHT AND LOGISTICS
244,HIGHER EDUCATION,INTERNET SOFTWARE AND SERVICES,HIGHER EDUCATION|INTERNET SOFTWARE AND SERVICES
245,INFORMATION TECHNOLOGY AND SERVICES,"TECHNOLOGY HARDWARE, STORAGE AND PERIPHERALS","INFORMATION TECHNOLOGY AND SERVICES|TECHNOLOGY HARDWARE, STORAGE AND PERIPHERALS"
246,"HEALTH, WELLNESS AND FITNESS",HEALTH CARE PROVIDERS AND SERVICES,"HEALTH, WELLNESS AND FITNESS|HEALTH CARE PROVIDERS AND SERVICES"
247,INFORMATION TECHNOLOGY AND SERVICES,INTERNET SOFTWARE AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INTERNET SOFTWARE AND SERVICES
248,LOGISTICS AND SUPPLY CHAIN,DIVERSIFIED CONSUMER SERVICES,LOGISTICS AND SUPPLY CHAIN|DIVERSIFIED CONSUMER SERVICES
249,INFORMATION TECHNOLOGY AND SERVICES,DIVERSIFIED CONSUMER SERVICES,INFORMATION TECHNOLOGY AND SERVICES|DIVERSIFIED CONSUMER SERVICES
250,COMPUTER SOFTWARE,INTERNET SOFTWARE AND SERVICES,COMPUTER SOFTWARE|INTERNET SOFTWARE AND SERVICES
251,FINANCIAL SERVICES,PROFESSIONAL SERVICES,FINANCIAL SERVICES|PROFESSIONAL SERVICES
252,CHEMICALS,DIVERSIFIED CONSUMER SERVICES,CHEMICALS|DIVERSIFIED CONSUMER SERVICES
253,UTILITIES,DIVERSIFIED CONSUMER SERVICES,UTILITIES|DIVERSIFIED CONSUMER SERVICES
254,BANKING,INTERNET SOFTWARE AND SERVICES,BANKING|INTERNET SOFTWARE AND SERVICES
255,WHOLESALE,FOOD AND STAPLES RETAILING,WHOLESALE|FOOD AND STAPLES RETAILING
256,HUMAN RESOURCES,DIVERSIFIED FINANCIAL SERVICES,HUMAN RESOURCES|DIVERSIFIED FINANCIAL SERVICES
257,INFORMATION TECHNOLOGY AND SERVICES,PROFESSIONAL SERVICES,INFORMATION TECHNOLOGY AND SERVICES|PROFESSIONAL SERVICES
258,RESEARCH,PHARMACEUTICALS,RESEARCH|PHARMACEUTICALS
259,"HEALTH, WELLNESS AND FITNESS",HEALTH CARE PROVIDERS AND SERVICES,"HEALTH, WELLNESS AND FITNESS|HEALTH CARE PROVIDERS AND SERVICES"
260,FOOD PRODUCTION,FOOD PRODUCTS,FOOD PRODUCTION|FOOD PRODUCTS
261,BANKING,BANKS,BANKING|BANKS
262,HIGHER EDUCATION,EDUCATION SERVICES,HIGHER EDUCATION|EDUCATION SERVICES
263,TELECOMMUNICATIONS,WIRELESS TELECOMMUNICATION SERVICES,TELECOMMUNICATIONS|WIRELESS TELECOMMUNICATION SERVICES
264,HOSPITAL AND HEALTH CARE,HEALTH CARE PROVIDERS AND SERVICES,HOSPITAL AND HEALTH CARE|HEALTH CARE PROVIDERS AND SERVICES
265,INFORMATION TECHNOLOGY AND SERVICES,PROFESSIONAL SERVICES,INFORMATION TECHNOLOGY AND SERVICES|PROFESSIONAL SERVICES
266,BANKING,DIVERSIFIED FINANCIAL SERVICES,BANKING|DIVERSIFIED FINANCIAL SERVICES
267,MARKETING AND ADVERTISING,REAL ESTATE,MARKETING AND ADVERTISING|REAL ESTATE
268,RESTAURANTS,"HOTELS, RESTAURANTS AND LEISURE","RESTAURANTS|HOTELS, RESTAURANTS AND LEISURE"
269,HOSPITAL AND HEALTH CARE,HEALTH CARE PROVIDERS AND SERVICES,HOSPITAL AND HEALTH CARE|HEALTH CARE PROVIDERS AND SERVICES
270,HIGHER EDUCATION,DIVERSIFIED CONSUMER SERVICES,HIGHER EDUCATION|DIVERSIFIED CONSUMER SERVICES
271,HOSPITAL AND HEALTH CARE,HEALTH CARE PROVIDERS AND SERVICES,HOSPITAL AND HEALTH CARE|HEALTH CARE PROVIDERS AND SERVICES
272,"HEALTH, WELLNESS AND FITNESS",BUILDING MATERIALS,"HEALTH, WELLNESS AND FITNESS|BUILDING MATERIALS"
273,LOGISTICS AND SUPPLY CHAIN,TRANSPORTATION,LOGISTICS AND SUPPLY CHAIN|TRANSPORTATION
274,WIRELESS,DIVERSIFIED TELECOMMUNICATION SERVICES,WIRELESS|DIVERSIFIED TELECOMMUNICATION SERVICES
275,MENTAL HEALTH CARE,HEALTH CARE PROVIDERS AND SERVICES,MENTAL HEALTH CARE|HEALTH CARE PROVIDERS AND SERVICES
276,NONPROFIT ORGANIZATION MANAGEMENT,DIVERSIFIED CONSUMER SERVICES,NONPROFIT ORGANIZATION MANAGEMENT|DIVERSIFIED CONSUMER SERVICES
277,HOSPITAL AND HEALTH CARE,HEALTH CARE PROVIDERS AND SERVICES,HOSPITAL AND HEALTH CARE|HEALTH CARE PROVIDERS AND SERVICES
278,RETAIL,"TEXTILES, APPAREL AND LUXURY GOODS","RETAIL|TEXTILES, APPAREL AND LUXURY GOODS"
279,BROADCAST MEDIA,MEDIA,BROADCAST MEDIA|MEDIA
280,INFORMATION TECHNOLOGY AND SERVICES,DIVERSIFIED CONSUMER SERVICES,INFORMATION TECHNOLOGY AND SERVICES|DIVERSIFIED CONSUMER SERVICES
281,FOOD PRODUCTION,FOOD PRODUCTS,FOOD PRODUCTION|FOOD PRODUCTS
282,HIGHER EDUCATION,DIVERSIFIED CONSUMER SERVICES,HIGHER EDUCATION|DIVERSIFIED CONSUMER SERVICES
283,INSURANCE,HEALTH CARE PROVIDERS AND SERVICES,INSURANCE|HEALTH CARE PROVIDERS AND SERVICES
284,HIGHER EDUCATION,EDUCATION SERVICES,HIGHER EDUCATION|EDUCATION SERVICES
285,HOSPITALITY,"HOTELS, RESTAURANTS AND LEISURE","HOSPITALITY|HOTELS, RESTAURANTS AND LEISURE"
286,WHOLESALE,DIVERSIFIED CONSUMER SERVICES,WHOLESALE|DIVERSIFIED CONSUMER SERVICES
287,MINING AND METALS,METALS AND MINING,MINING AND METALS|METALS AND MINING
288,STAFFING AND RECRUITING,PROFESSIONAL SERVICES,STAFFING AND RECRUITING|PROFESSIONAL SERVICES
289,CONSTRUCTION,BUILDING MATERIALS,CONSTRUCTION|BUILDING MATERIALS
290,FINANCIAL SERVICES,DIVERSIFIED CONSUMER SERVICES,FINANCIAL SERVICES|DIVERSIFIED CONSUMER SERVICES
291,RETAIL,"TEXTILES, APPAREL AND LUXURY GOODS","RETAIL|TEXTILES, APPAREL AND LUXURY GOODS"
292,BANKING,BANKS,BANKING|BANKS
293,SEMICONDUCTORS,INDUSTRIAL CONGLOMERATES,SEMICONDUCTORS|INDUSTRIAL CONGLOMERATES
294,WHOLESALE,DIVERSIFIED CONSUMER SERVICES,WHOLESALE|DIVERSIFIED CONSUMER SERVICES
295,LEGAL SERVICES,SPECIALIZED CONSUMER SERVICES,LEGAL SERVICES|SPECIALIZED CONSUMER SERVICES
296,GOVERNMENT ADMINISTRATION,HEALTH CARE PROVIDERS AND SERVICES,GOVERNMENT ADMINISTRATION|HEALTH CARE PROVIDERS AND SERVICES
297,HIGHER EDUCATION,INTERNET SOFTWARE AND SERVICES,HIGHER EDUCATION|INTERNET SOFTWARE AND SERVICES
298,RETAIL,PERSONAL PRODUCTS,RETAIL|PERSONAL PRODUCTS
299,CONSTRUCTION,CONSTRUCTION AND ENGINEERING,CONSTRUCTION|CONSTRUCTION AND ENGINEERING
300,MECHANICAL OR INDUSTRIAL ENGINEERING,INDUSTRIAL CONGLOMERATES,MECHANICAL OR INDUSTRIAL ENGINEERING|INDUSTRIAL CONGLOMERATES
301,OIL AND ENERGY,GAS UTILITIES,OIL AND ENERGY|GAS UTILITIES
302,SPORTS,LEISURE PRODUCTS,SPORTS|LEISURE PRODUCTS
303,HUMAN RESOURCES,PROFESSIONAL SERVICES,HUMAN RESOURCES|PROFESSIONAL SERVICES
304,MINING AND METALS,METALS AND MINING,MINING AND METALS|METALS AND MINING
305,RESTAURANTS,SPECIALIZED CONSUMER SERVICES,RESTAURANTS|SPECIALIZED CONSUMER SERVICES
306,INSURANCE,DIVERSIFIED FINANCIAL SERVICES,INSURANCE|DIVERSIFIED FINANCIAL SERVICES
307,COMMERCIAL REAL ESTATE,REAL ESTATE,COMMERCIAL REAL ESTATE|REAL ESTATE
308,CIVIL ENGINEERING,CONSTRUCTION AND ENGINEERING,CIVIL ENGINEERING|CONSTRUCTION AND ENGINEERING
309,HOSPITAL AND HEALTH CARE,HEALTH CARE PROVIDERS AND SERVICES,HOSPITAL AND HEALTH CARE|HEALTH CARE PROVIDERS AND SERVICES
310,BANKING,BANKS,BANKING|BANKS
311,AUTOMOTIVE,AUTOMOTIVE,AUTOMOTIVE|AUTOMOTIVE
312,UTILITIES,DIVERSIFIED CONSUMER SERVICES,UTILITIES|DIVERSIFIED CONSUMER SERVICES
313,BUILDING MATERIALS,BUILDING MATERIALS,BUILDING MATERIALS|BUILDING MATERIALS
314,INFORMATION TECHNOLOGY AND SERVICES,DIVERSIFIED FINANCIAL SERVICES,INFORMATION TECHNOLOGY AND SERVICES|DIVERSIFIED FINANCIAL SERVICES
315,BUILDING MATERIALS,SPECIALTY RETAIL,BUILDING MATERIALS|SPECIALTY RETAIL
316,MARITIME,MARINE,MARITIME|MARINE
317,RETAIL,MEDIA,RETAIL|MEDIA
318,TELECOMMUNICATIONS,DIVERSIFIED TELECOMMUNICATION SERVICES,TELECOMMUNICATIONS|DIVERSIFIED TELECOMMUNICATION SERVICES
319,HIGHER EDUCATION,DIVERSIFIED CONSUMER SERVICES,HIGHER EDUCATION|DIVERSIFIED CONSUMER SERVICES
320,COMPUTER HARDWARE,"TECHNOLOGY HARDWARE, STORAGE AND PERIPHERALS","COMPUTER HARDWARE|TECHNOLOGY HARDWARE, STORAGE AND PERIPHERALS"
321,ACCOUNTING,DIVERSIFIED FINANCIAL SERVICES,ACCOUNTING|DIVERSIFIED FINANCIAL SERVICES
322,SPORTS,LEISURE PRODUCTS,SPORTS|LEISURE PRODUCTS
323,FINANCIAL SERVICES,DIVERSIFIED FINANCIAL SERVICES,FINANCIAL SERVICES|DIVERSIFIED FINANCIAL SERVICES
324,AUTOMOTIVE,TRANSPORTATION,AUTOMOTIVE|TRANSPORTATION
325,HOSPITAL AND HEALTH CARE,HEALTH CARE PROVIDERS AND SERVICES,HOSPITAL AND HEALTH CARE|HEALTH CARE PROVIDERS AND SERVICES
326,UTILITIES,UTILITIES,UTILITIES|UTILITIES
327,SECURITY AND INVESTIGATIONS,EDUCATION SERVICES,SECURITY AND INVESTIGATIONS|EDUCATION SERVICES
328,FINANCIAL SERVICES,CAPITAL MARKETS,FINANCIAL SERVICES|CAPITAL MARKETS
329,HIGHER EDUCATION,INTERNET SOFTWARE AND SERVICES,HIGHER EDUCATION|INTERNET SOFTWARE AND SERVICES
330,EDUCATION MANAGEMENT,EDUCATION SERVICES,EDUCATION MANAGEMENT|EDUCATION SERVICES
331,PUBLIC RELATIONS AND COMMUNICATIONS,"HOTELS, RESTAURANTS AND LEISURE","PUBLIC RELATIONS AND COMMUNICATIONS|HOTELS, RESTAURANTS AND LEISURE"
332,HOSPITAL AND HEALTH CARE,HEALTH CARE PROVIDERS AND SERVICES,HOSPITAL AND HEALTH CARE|HEALTH CARE PROVIDERS AND SERVICES
333,LAW PRACTICE,SPECIALIZED CONSUMER SERVICES,LAW PRACTICE|SPECIALIZED CONSUMER SERVICES
334,TELECOMMUNICATIONS,HEALTH CARE PROVIDERS AND SERVICES,TELECOMMUNICATIONS|HEALTH CARE PROVIDERS AND SERVICES
335,HIGHER EDUCATION,DIVERSIFIED CONSUMER SERVICES,HIGHER EDUCATION|DIVERSIFIED CONSUMER SERVICES
336,MARITIME,TRANSPORTATION,MARITIME|TRANSPORTATION
337,INSURANCE,PHARMACEUTICALS,INSURANCE|PHARMACEUTICALS
338,MARKETING AND ADVERTISING,HEALTH CARE PROVIDERS AND SERVICES,MARKETING AND ADVERTISING|HEALTH CARE PROVIDERS AND SERVICES
339,MARKETING AND ADVERTISING,MEDIA,MARKETING AND ADVERTISING|MEDIA
340,EDUCATION MANAGEMENT,INTERNET SOFTWARE AND SERVICES,EDUCATION MANAGEMENT|INTERNET SOFTWARE AND SERVICES
341,GOVERNMENT ADMINISTRATION,INDUSTRIAL CONGLOMERATES,GOVERNMENT ADMINISTRATION|INDUSTRIAL CONGLOMERATES
342,"HEALTH, WELLNESS AND FITNESS",HEALTH CARE PROVIDERS AND SERVICES,"HEALTH, WELLNESS AND FITNESS|HEALTH CARE PROVIDERS AND SERVICES"
343,HIGHER EDUCATION,DIVERSIFIED CONSUMER SERVICES,HIGHER EDUCATION|DIVERSIFIED CONSUMER SERVICES
344,INDIVIDUAL AND FAMILY SERVICES,DIVERSIFIED CONSUMER SERVICES,INDIVIDUAL AND FAMILY SERVICES|DIVERSIFIED CONSUMER SERVICES
345,CONSTRUCTION,DIVERSIFIED CONSUMER SERVICES,CONSTRUCTION|DIVERSIFIED CONSUMER SERVICES
346,SEMICONDUCTORS,"TECHNOLOGY HARDWARE, STORAGE AND PERIPHERALS","SEMICONDUCTORS|TECHNOLOGY HARDWARE, STORAGE AND PERIPHERALS"
347,FURNITURE,SPECIALTY RETAIL,FURNITURE|SPECIALTY RETAIL
348,INFORMATION TECHNOLOGY AND SERVICES,COMMERCIAL SERVICES AND SUPPLIES,INFORMATION TECHNOLOGY AND SERVICES|COMMERCIAL SERVICES AND SUPPLIES
349,AIRLINES/AVIATION,AIRLINES,AIRLINES/AVIATION|AIRLINES
350,HOSPITAL AND HEALTH CARE,HEALTH CARE PROVIDERS AND SERVICES,HOSPITAL AND HEALTH CARE|HEALTH CARE PROVIDERS AND SERVICES
351,COMPUTER AND NETWORK SECURITY,DIVERSIFIED CONSUMER SERVICES,COMPUTER AND NETWORK SECURITY|DIVERSIFIED CONSUMER SERVICES
352,GOVERNMENT ADMINISTRATION,PROFESSIONAL SERVICES,GOVERNMENT ADMINISTRATION|PROFESSIONAL SERVICES
353,INFORMATION TECHNOLOGY AND SERVICES,INTERNET SOFTWARE AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INTERNET SOFTWARE AND SERVICES
354,INFORMATION TECHNOLOGY AND SERVICES,HEALTH CARE PROVIDERS AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|HEALTH CARE PROVIDERS AND SERVICES
355,PROFESSIONAL TRAINING AND COACHING,HEALTH CARE PROVIDERS AND SERVICES,PROFESSIONAL TRAINING AND COACHING|HEALTH CARE PROVIDERS AND SERVICES
356,UTILITIES,AUTOMOTIVE,UTILITIES|AUTOMOTIVE
357,BUILDING MATERIALS,PERSONAL PRODUCTS,BUILDING MATERIALS|PERSONAL PRODUCTS
358,INFORMATION TECHNOLOGY AND SERVICES,DIVERSIFIED CONSUMER SERVICES,INFORMATION TECHNOLOGY AND SERVICES|DIVERSIFIED CONSUMER SERVICES
359,HIGHER EDUCATION,DIVERSIFIED CONSUMER SERVICES,HIGHER EDUCATION|DIVERSIFIED CONSUMER SERVICES
360,INFORMATION TECHNOLOGY AND SERVICES,INTERNET SOFTWARE AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INTERNET SOFTWARE AND SERVICES
361,HOSPITAL AND HEALTH CARE,HEALTH CARE PROVIDERS AND SERVICES,HOSPITAL AND HEALTH CARE|HEALTH CARE PROVIDERS AND SERVICES
362,BANKING,BANKS,BANKING|BANKS
363,NONPROFIT ORGANIZATION MANAGEMENT,PROFESSIONAL SERVICES,NONPROFIT ORGANIZATION MANAGEMENT|PROFESSIONAL SERVICES
364,HOSPITALITY,"HOTELS, RESTAURANTS AND LEISURE","HOSPITALITY|HOTELS, RESTAURANTS AND LEISURE"
365,HIGHER EDUCATION,PROFESSIONAL SERVICES,HIGHER EDUCATION|PROFESSIONAL SERVICES
366,PUBLISHING,PROFESSIONAL SERVICES,PUBLISHING|PROFESSIONAL SERVICES
367,GOVERNMENT ADMINISTRATION,TRADING COMPANIES AND DISTRIBUTORS,GOVERNMENT ADMINISTRATION|TRADING COMPANIES AND DISTRIBUTORS
368,APPAREL AND FASHION,"TEXTILES, APPAREL AND LUXURY GOODS","APPAREL AND FASHION|TEXTILES, APPAREL AND LUXURY GOODS"
369,SPORTS,LEISURE PRODUCTS,SPORTS|LEISURE PRODUCTS
370,INSURANCE,INSURANCE,INSURANCE|INSURANCE
371,MEDICAL DEVICES,PHARMACEUTICALS,MEDICAL DEVICES|PHARMACEUTICALS
372,AIRLINES/AVIATION,AIRLINES,AIRLINES/AVIATION|AIRLINES
373,FINANCIAL SERVICES,INSURANCE,FINANCIAL SERVICES|INSURANCE
374,INFORMATION TECHNOLOGY AND SERVICES,PROFESSIONAL SERVICES,INFORMATION TECHNOLOGY AND SERVICES|PROFESSIONAL SERVICES
375,COMPUTER SOFTWARE,GAS UTILITIES,COMPUTER SOFTWARE|GAS UTILITIES
376,UTILITIES,ELECTRIC UTILITIES,UTILITIES|ELECTRIC UTILITIES
377,INTERNET,"HOTELS, RESTAURANTS AND LEISURE","INTERNET|HOTELS, RESTAURANTS AND LEISURE"
378,INFORMATION TECHNOLOGY AND SERVICES,INTERNET SOFTWARE AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INTERNET SOFTWARE AND SERVICES
379,PACKAGE/FREIGHT DELIVERY,DIVERSIFIED CONSUMER SERVICES,PACKAGE/FREIGHT DELIVERY|DIVERSIFIED CONSUMER SERVICES
380,ENTERTAINMENT,HEALTH CARE PROVIDERS AND SERVICES,ENTERTAINMENT|HEALTH CARE PROVIDERS AND SERVICES
381,RESEARCH,DIVERSIFIED CONSUMER SERVICES,RESEARCH|DIVERSIFIED CONSUMER SERVICES
382,COMPUTER SOFTWARE,TRANSPORTATION,COMPUTER SOFTWARE|TRANSPORTATION
383,STAFFING AND RECRUITING,PROFESSIONAL SERVICES,STAFFING AND RECRUITING|PROFESSIONAL SERVICES
384,HOSPITAL AND HEALTH CARE,PHARMACEUTICALS,HOSPITAL AND HEALTH CARE|PHARMACEUTICALS
385,PRIMARY/SECONDARY EDUCATION,DIVERSIFIED CONSUMER SERVICES,PRIMARY/SECONDARY EDUCATION|DIVERSIFIED CONSUMER SERVICES
386,FINANCIAL SERVICES,DIVERSIFIED FINANCIAL SERVICES,FINANCIAL SERVICES|DIVERSIFIED FINANCIAL SERVICES
387,INFORMATION TECHNOLOGY AND SERVICES,"TEXTILES, APPAREL AND LUXURY GOODS","INFORMATION TECHNOLOGY AND SERVICES|TEXTILES, APPAREL AND LUXURY GOODS"
388,AUTOMOTIVE,HOUSEHOLD DURABLES,AUTOMOTIVE|HOUSEHOLD DURABLES
389,HOSPITALITY,"HOTELS, RESTAURANTS AND LEISURE","HOSPITALITY|HOTELS, RESTAURANTS AND LEISURE"
390,BUILDING MATERIALS,DIVERSIFIED CONSUMER SERVICES,BUILDING MATERIALS|DIVERSIFIED CONSUMER SERVICES
391,HIGHER EDUCATION,PROFESSIONAL SERVICES,HIGHER EDUCATION|PROFESSIONAL SERVICES
392,RETAIL,"TEXTILES, APPAREL AND LUXURY GOODS","RETAIL|TEXTILES, APPAREL AND LUXURY GOODS"
393,COMPUTER SOFTWARE,INTERNET SOFTWARE AND SERVICES,COMPUTER SOFTWARE|INTERNET SOFTWARE AND SERVICES
394,COMPUTER SOFTWARE,BANKS,COMPUTER SOFTWARE|BANKS
395,INFORMATION TECHNOLOGY AND SERVICES,DIVERSIFIED CONSUMER SERVICES,INFORMATION TECHNOLOGY AND SERVICES|DIVERSIFIED CONSUMER SERVICES
396,HIGHER EDUCATION,HEALTH CARE PROVIDERS AND SERVICES,HIGHER EDUCATION|HEALTH CARE PROVIDERS AND SERVICES
397,FINANCIAL SERVICES,DIVERSIFIED FINANCIAL SERVICES,FINANCIAL SERVICES|DIVERSIFIED FINANCIAL SERVICES
398,UTILITIES,GAS UTILITIES,UTILITIES|GAS UTILITIES
399,OIL AND ENERGY,GAS UTILITIES,OIL AND ENERGY|GAS UTILITIES
400,PACKAGE/FREIGHT DELIVERY,AIR FREIGHT AND LOGISTICS,PACKAGE/FREIGHT DELIVERY|AIR FREIGHT AND LOGISTICS
401,COMPUTER SOFTWARE,INTERNET SOFTWARE AND SERVICES,COMPUTER SOFTWARE|INTERNET SOFTWARE AND SERVICES
402,PROFESSIONAL TRAINING AND COACHING,HEALTH CARE PROVIDERS AND SERVICES,PROFESSIONAL TRAINING AND COACHING|HEALTH CARE PROVIDERS AND SERVICES
403,UTILITIES,UTILITIES,UTILITIES|UTILITIES
404,PHOTOGRAPHY,HOUSEHOLD DURABLES,PHOTOGRAPHY|HOUSEHOLD DURABLES
405,EDUCATION MANAGEMENT,EDUCATION SERVICES,EDUCATION MANAGEMENT|EDUCATION SERVICES
406,INTERNATIONAL AFFAIRS,DIVERSIFIED CONSUMER SERVICES,INTERNATIONAL AFFAIRS|DIVERSIFIED CONSUMER SERVICES
407,HOSPITAL AND HEALTH CARE,HEALTH CARE PROVIDERS AND SERVICES,HOSPITAL AND HEALTH CARE|HEALTH CARE PROVIDERS AND SERVICES
408,INSURANCE,INSURANCE,INSURANCE|INSURANCE
409,TELECOMMUNICATIONS,COMMUNICATIONS EQUIPMENT,TELECOMMUNICATIONS|COMMUNICATIONS EQUIPMENT
410,HIGHER EDUCATION,DIVERSIFIED CONSUMER SERVICES,HIGHER EDUCATION|DIVERSIFIED CONSUMER SERVICES
411,ARCHITECTURE AND PLANNING,EDUCATION SERVICES,ARCHITECTURE AND PLANNING|EDUCATION SERVICES
412,COMPUTER SOFTWARE,INTERNET SOFTWARE AND SERVICES,COMPUTER SOFTWARE|INTERNET SOFTWARE AND SERVICES
413,PROFESSIONAL TRAINING AND COACHING,PROFESSIONAL SERVICES,PROFESSIONAL TRAINING AND COACHING|PROFESSIONAL SERVICES
414,TOBACCO,TOBACCO,TOBACCO|TOBACCO
415,HOSPITALITY,AUTOMOTIVE,HOSPITALITY|AUTOMOTIVE
416,REAL ESTATE,REAL ESTATE,REAL ESTATE|REAL ESTATE
417,BANKING,BANKS,BANKING|BANKS
418,EDUCATION MANAGEMENT,INTERNET SOFTWARE AND SERVICES,EDUCATION MANAGEMENT|INTERNET SOFTWARE AND SERVICES
419,REAL ESTATE,BUILDING MATERIALS,REAL ESTATE|BUILDING MATERIALS
420,MEDICAL PRACTICE,PHARMACEUTICALS,MEDICAL PRACTICE|PHARMACEUTICALS
421,PHARMACEUTICALS,PHARMACEUTICALS,PHARMACEUTICALS|PHARMACEUTICALS
422,INFORMATION TECHNOLOGY AND SERVICES,DIVERSIFIED CONSUMER SERVICES,INFORMATION TECHNOLOGY AND SERVICES|DIVERSIFIED CONSUMER SERVICES
423,GOVERNMENT ADMINISTRATION,EDUCATION SERVICES,GOVERNMENT ADMINISTRATION|EDUCATION SERVICES
424,AUTOMOTIVE,TRANSPORTATION,AUTOMOTIVE|TRANSPORTATION
425,OIL AND ENERGY,TRANSPORTATION,OIL AND ENERGY|TRANSPORTATION
426,HOSPITAL AND HEALTH CARE,HEALTH CARE PROVIDERS AND SERVICES,HOSPITAL AND HEALTH CARE|HEALTH CARE PROVIDERS AND SERVICES
427,SECURITY AND INVESTIGATIONS,PROFESSIONAL SERVICES,SECURITY AND INVESTIGATIONS|PROFESSIONAL SERVICES
428,HIGHER EDUCATION,INTERNET SOFTWARE AND SERVICES,HIGHER EDUCATION|INTERNET SOFTWARE AND SERVICES
429,BANKING,BANKS,BANKING|BANKS
430,MEDIA PRODUCTION,MEDIA,MEDIA PRODUCTION|MEDIA
431,CIVIL ENGINEERING,CONSTRUCTION AND ENGINEERING,CIVIL ENGINEERING|CONSTRUCTION AND ENGINEERING
432,MANAGEMENT CONSULTING,PROFESSIONAL SERVICES,MANAGEMENT CONSULTING|PROFESSIONAL SERVICES
433,COMPUTER SOFTWARE,PROFESSIONAL SERVICES,COMPUTER SOFTWARE|PROFESSIONAL SERVICES
434,CONSUMER SERVICES,TRANSPORTATION,CONSUMER SERVICES|TRANSPORTATION
435,ENVIRONMENTAL SERVICES,TRANSPORTATION,ENVIRONMENTAL SERVICES|TRANSPORTATION
436,FINANCIAL SERVICES,INSURANCE,FINANCIAL SERVICES|INSURANCE
437,INFORMATION TECHNOLOGY AND SERVICES,PROFESSIONAL SERVICES,INFORMATION TECHNOLOGY AND SERVICES|PROFESSIONAL SERVICES
