,industry,total_score
4163,computer software,4.41
4164,travel agencies and services,4.53
4165,consumer services,4.53
4166,software development and design,4.53
4167,software,4.53
4168,search engines and internet portals,4.53
4169,media and internet,4.53
4170,information services,2.43
4171,telecommunications,2.4
4172,information technology and services,3.47
4173,automotive,2.43
4174,search engines and internet portals,3.48
4175,media and internet,3.48
4176,charitable organizations and foundations,4.45
4177,organizations,4.45
4178,finance,4.45
4179,information technology and services,4.41
4180,search engines and internet portals,2.43
4181,media and internet,2.43
4182,internet,2.42
4183,insurance,4.51
4184,finance,4.51
4185,computer networking equipment,2.43
4186,computer equipment and peripherals,2.43
4187,manufacturing,2.43
4188,internet service providers,2.43
4189,website hosting and internet-related services,2.43
4190,telecommunications,2.43
4191,software development and design,3.48
4192,software,3.48
4193,internet,4.45
4194,computer software,4.52
4195,chemicals,3.43
4196,internet,10.47
4197,airlines/aviation,3.44
4198,leisure,2.43
4199,travel and tourism,2.43
4200,software development and design,2.43
4201,software,2.43
4202,engineering software,2.43
4203,business intelligence software(bi),2.43
4204,enterprise resource planning software(erp),2.43
4205,software development and design,4.45
4206,software,4.45
4207,telecommunications,4.45
4208,information technology and services,2.42
4209,computer software,3.44
4210,hospital and health care,2.47
4211,computer software,4.45
4212,telecommunications,4.38
4213,software development and design,2.47
4214,software,2.47
4215,custom software and technical consulting,2.47
4216,consumer electronics,2.47
4217,consumer goods,2.47
4218,telecommunication equipment,2.47
4219,manufacturing,2.47
4220,customer relationship management software(crm),2.47
4221,enterprise resource planning software(erp),2.47
4222,business intelligence software(bi),2.47
4223,database and file management software,2.47
4224,supply chain management software(scm),2.47
4225,financial services,2.42
4226,information technology and services,4.44
4227,information technology and services,4.43
4228,apparel and accessories,3.46
4229,retail,3.46
4230,freight and logistics services,3.42
4231,transportation,3.42
4232,airlines,3.42
4233,airports and air services,3.42
4234,trucking,3.42
4235,moving and storage,3.42
4236,software development and design,3.45
4237,software,3.45
4238,finance,3.45
4239,software development and design,4.45
4240,software,4.45
4241,personal computers and peripherals,4.45
4242,consumer electronics,4.45
4243,computer equipment and peripherals,4.45
4244,consumer goods,4.45
4245,manufacturing,4.45
4246,computer storage equipment,4.45
4247,internet service providers,4.45
4248,website hosting and internet-related services,4.45
4249,business services,4.45
4250,telecommunications,4.45
4251,customer relationship management software(crm),4.45
4252,supply chain management software(scm),4.45
4253,business intelligence software(bi),4.45
4254,higher education,3.47
4255,computer hardware,4.44
4256,gambling and casinos,2.42
4257,training,3.41
4258,education,3.41
4259,computer software,4.39
4260,computer games,3.47
4261,software development and design,3.53
4262,software,3.53
4263,network security hardware and software,3.53
4264,computer equipment and peripherals,3.53
4265,manufacturing,3.53
4266,telecommunications,3.43
4267,financial services,4.55
4268,software development and design,9.43
4269,software,9.43
4270,consumer electronics,9.43
4271,consumer goods,9.43
4272,telecommunication equipment,9.43
4273,manufacturing,9.43
4274,engineering software,9.43
4275,business intelligence software(bi),9.43
4276,media and internet,3.47
4277,search engines and internet portals,3.47
4278,information collection and delivery,3.47
4279,internet,4.43
4280,computer software,4.44
4281,financial services,4.5
4282,information technology and services,3.48
4283,computer software,3.48
4284,advertising and marketing,3.44
4285,business services,3.44
4286,information technology and services,2.43
4287,information technology and services,4.48
4288,software development and design,2.38
4289,software,2.38
4290,power conversion and protection equipment,2.38
4291,cable and satellite,2.38
4292,electronics,2.38
4293,security products and services,2.38
4294,telephony and wireless,2.38
4295,business services,2.38
4296,manufacturing,2.38
4297,telecommunications,2.38
4298,investment banking,4.42
4299,finance,4.42
4300,computer software,10.47
4301,computer software,3.47
4302,marketing and advertising,3.4
4303,telephony and wireless,3.42
4304,telecommunications,3.42
4305,software development and design,4.41
4306,software,4.41
4307,engineering software,4.41
4308,business intelligence software(bi),4.41
4309,enterprise resource planning software(erp),4.41
4310,broadcast media,3.44
4311,design,3.47
4312,telephony and wireless,2.46
4313,telecommunications,2.46
4314,cable and satellite,2.46
4315,computer software,3.47
4316,business supplies and equipment,3.48
4317,internet,3.47
4318,information technology and services,10.48
4319,computer software,3.42
4320,computer software,3.47
4321,internet,3.47
4322,computer software,4.43
4323,consumer electronics,3.46
4324,internet,5.14
4325,food production,10.43
4326,media production,4.56
4327,software development and design,3.44
4328,software,3.44
4329,engineering software,3.44
4330,telecommunications,4.45
4331,information technology and services,4.36
4332,computer software,4.41
4333,internet,4.42
4334,computer software,4.44
4335,software development and design,4.42
4336,software,4.42
4337,engineering software,4.42
4338,business intelligence software(bi),4.42
4339,enterprise resource planning software(erp),4.42
4340,computer software,3.47
4341,sporting and recreational equipment,3.43
4342,retail,3.43
4343,computer software,10.46
4344,marketing and advertising,2.46
4345,e-learning,4.42
4346,computer software,7.42
4347,computer software,3.47
4348,health,3.42
4349,wellness and fitness,3.42
4350,information technology and services,4.4
4351,computer software,3.47
4352,internet,2.46
4353,internet,3.46
4354,health,3.47
4355,wellness and fitness,3.47
4356,internet,3.48
4357,information collection and delivery,4.36
4358,media and internet,4.36
4359,publishing,4.36
4360,advertising and marketing,4.36
4361,business services,4.36
4362,information technology and services,3.41
4363,movies and entertainment,10.45
4364,information technology and services,4.42
4365,computer software,3.47
4366,internet,4.42
4367,training,4.42
4368,education,4.42
4369,information and document management,4.42
4370,business services,4.42
4371,software development and design,3.49
4372,software,3.49
4373,engineering software,3.49
4374,business intelligence software(bi),3.49
4375,enterprise resource planning software(erp),3.49
4376,financial services,3.47
4377,information technology and services,3.43
4378,marketing and advertising,9.42
4379,software development and design,3.43
4380,software,3.43
4381,custom software and technical consulting,3.43
4382,telecommunications,3.43
4383,engineering software,3.43
4384,online media,3.46
4385,computer networking,3.47
4386,computer software,10.52
4387,comnsumer services,10.47
4388,internet,4.45
4389,credit cards and transaction processing,4.41
4390,finance,4.41
4391,information collection and delivery,2.39
4392,media and internet,2.39
4393,search engines and internet portals,2.39
4394,software development and design,10.49
4395,software,10.49
4396,engineering software,10.49
4397,business intelligence software(bi),10.49
4398,enterprise resource planning software(erp),10.49
4399,management consulting,2.47
4400,internet,10.47
4401,industrial automation,2.46
4402,chemicals,4.44
4403,chemicals,4.44
4404,petrochemicals,4.44
4405,glass and gases,4.44
4406,manufacturing,4.44
4407,financial services,4.42
4408,financial services,3.47
4409,hospital and health care,10.48
4410,computer software,3.44
4411,apparel and fashion,3.48
4412,information technology and services,3.42
4413,information technology and services,3.48
4414,software development and design,3.47
4415,software,3.47
4416,search engines and internet portals,3.47
4417,media and internet,3.47
4418,retail software,3.47
4419,computer software,10.47
4420,financial services,4.47
4421,marketing and advertising,2.47
4422,computer software,10.48
4423,bachelor of business administration (b.b.a.),3.47
4424,management information systems,3.47
4425,general,3.47
4426,computer software,10.51
4427,custom software and technical consulting,3.45
4428,software,3.45
4429,information and document management,3.45
4430,business services,3.45
4431,information technology and services,3.44
4432,sporting goods,2.43
4433,internet,3.42
4434,information technology and services,4.47
4435,computer software,3.42
4436,printing,3.42
4437,sporting goods,2.39
4438,marketing and advertising,2.48
4439,cleaning products,2.47
4440,consumer goods,2.47
4441,manufacturing,2.47
4442,software development and design,10.48
4443,software,10.48
4444,custom software and technical consulting,10.48
4445,charitable organizations and foundations,3.38
4446,organizations,3.38
4447,publishing,3.38
4448,media and internet,3.38
4449,religious organizations,3.38
4450,computer software,3.45
4451,computer software,3.45
4452,product management,2.44
4453,software development and design,3.44
4454,software,3.44
4455,biotechnology,3.44
4456,pharmaceuticals,3.44
4457,healthcare,3.44
4458,consumer electronics,4.4
4459,public policy,3.46
4460,computer software,10.46
4461,information technology and services,3.46
4462,auctions,3.44
4463,business services,3.44
4464,motor vehicle dealers,3.44
4465,retail,3.44
4466,airlines/aviation,3.44
4467,information technology and services,3.45
4468,marketing and advertising,3.47
4469,information technology and services,10.45
4470,software development and design,3.45
4471,software,3.45
